name,city,country,country_code,iata,icao,x,y,elevation,apid,timezone,dst,tz_id,type,source,ap_uid,ap_name
Seymour Johnson Air Force Base,Goldsboro,United States,,GSB,KGSB,-77.96060181,35.33940125,109,3640,-5,A,America/New_York,airport,OurAirports,,"Goldsboro-Seymour Johnson. (GSB), United States"
Sfax Thyna International Airport,Sfax,Tunisia,,SFA,DTTX,10.690999984741211,34.71799850463867,85,295,1,E,Africa/Tunis,airport,OurAirports,,"Sfax Thyna International Airport (SFA), Tunisia"
Shageluk Airport,Shageluk,United States,,SHX,PAHX,-159.569000244,62.6922988892,79,7090,-9,A,America/Anchorage,airport,OurAirports,user,"Shageluk Airport (SHX), United States"
Shah Amanat International Airport,Chittagong,Bangladesh,,CGP,VGEG,91.81330108642578,22.24959945678711,12,3069,6,U,Asia/Dhaka,airport,OurAirports,,"Chittagong-Shah Amanat Intern. (CGP), Bangladesh"
Shah Mokhdum Airport,Rajshahi,Bangladesh,,RJH,VGRJ,88.61650085449219,24.43720054626465,64,3072,6,U,Asia/Dhaka,airport,OurAirports,,"Rajshahi-Shah Mokhdum Airport (RJH), Bangladesh"
Shahbaz Air Base,Jacobsbad,Pakistan,,JAG,OPJA,68.44969940185547,28.28420066833496,185,2205,5,N,Asia/Karachi,airport,OurAirports,,"Jacobsbad-Shahbaz Air Base (JAG), Pakistan"
Shaheed Benazirabad Airport,Nawabshah,Pakistan,,WNS,OPNH,68.390099,26.2194,95,2215,5,N,Asia/Karachi,airport,OurAirports,,"Nawabshah-Shaheed Benazirabad A. (WNS), Pakistan"
Shahid Ashrafi Esfahani Airport,Bakhtaran,Iran,,KSH,OICC,47.1581001282,34.3459014893,4307,2114,3.5,E,Asia/Tehran,airport,OurAirports,,"Bakhtaran-Shahid Ashrafi Esfahani A. (KSH), Iran"
Shahid Sadooghi Airport,Yazd,Iran,,AZD,OIYY,54.2765007019,31.9048995972,4054,2164,3.5,E,Asia/Tehran,airport,OurAirports,,"Yazd-Shahid Sadooghi Airport (AZD), Iran"
Shahrekord Airport,Shahre Kord,Iran,,CQD,OIFS,50.842201232899995,32.2971992493,6723,6759,3.5,E,Asia/Tehran,airport,OurAirports,user,"Shahre Kord-Shahrekord Airport (CQD), Iran"
Shahroud Airport,Emam Shahr,Iran,,RUD,OIMJ,55.104198455799995,36.4253005981,4215,2144,3.5,E,Asia/Tehran,airport,OurAirports,,"Emam Shahr-Shahroud Airport (RUD), Iran"
Shaikh Zaid Airport,Rahim Yar Khan,Pakistan,,RYK,OPRK,70.27960205078125,28.383899688720703,271,2222,5,N,Asia/Karachi,airport,OurAirports,,"Rahim Yar Khan-Shaikh Zaid Airp. (RYK), Pakistan"
Shakawe Airport,Shakawe,Botswana,,SWX,FBSW,21.832599639892578,-18.373899459838867,3379,5609,2,U,Africa/Gaborone,airport,OurAirports,user,"Shakawe Airport (SWX), Botswana"
Shakhtyorsk Airport,Shakhtyorsk,Russia,,EKS,UHSK,142.082993,49.1903,50,13431,11,N,,airport,OurAirports,user,"Shakhtyorsk Airport (EKS), Russia"
Shaktoolik Airport,Shaktoolik,United States,,SKK,PFSH,-161.223999,64.37110138,24,7192,-9,A,America/Anchorage,airport,OurAirports,user,"Shaktoolik Airport (SKK), United States"
Shamattawa Airport,Shamattawa,Canada,,ZTM,CZTM,-92.0813980102539,55.8656005859375,289,5549,-6,A,America/Winnipeg,airport,OurAirports,user,"Shamattawa Airport (ZTM), Canada"
Shanghai Hongqiao International Airport,Shanghai,China,,SHA,ZSSS,121.33599853515625,31.197900772094727,10,3391,8,U,Asia/Shanghai,airport,OurAirports,,"Shanghai Hongqiao International Ai. (SHA), China"
Shanghai Pudong International Airport,Shanghai,China,,PVG,ZSPD,121.80500030517578,31.143400192260742,13,3406,8,U,Asia/Shanghai,airport,OurAirports,,"Shanghai Pudong International Airp. (PVG), China"
Shangrao Sanqingshan Airport,Shangrao,China,,SQD,ZSSR,117.9643,28.3797,340,13472,8,N,,airport,OurAirports,user,"Shangrao Sanqingshan Airport (SQD), China"
Shanhaiguan Airport,Qinhuangdao,China,,SHP,ZBSH,119.731003,39.968102,30,6429,8,N,Asia/Shanghai,airport,OurAirports,user,"Qinhuangdao-Shanhaiguan Airport (SHP), China"
Shank Air Base,Shank,Afghanistan,,OAA,OASH,69.07722222219999,33.9225,6890,8267,4.5,N,Asia/Kabul,airport,OurAirports,user,"Shank Air Base (OAA), Afghanistan"
